Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.0064,0x2B0,0.0,0.0,1.0,6.25,2.86,0.48,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.00823,0x220,0.0,0.0,1.0,6.25,2.86,0.48,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.01088,0x316,0.0,0.0,1.0,6.25,2.86,0.48,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.01257,0x386,0.0,0.0,1.0,6.25,2.86,0.48,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.0164,0x2B0,0.0,0.0,1.0,6.25,2.86,0.48,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.01832,0x220,0.0,0.0,1.0,6.25,2.84,0.46,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.02121,0x316,0.0,0.0,1.0,6.25,2.84,0.46,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.02653,0x2B0,0.0,0.0,1.0,6.25,2.84,0.46,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.02823,0x220,0.0,0.0,1.0,6.25,2.83,0.42,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.03094,0x316,0.0,0.0,1.0,6.25,2.83,0.42,11.25,11.34375,10.90625,11.03125,27.6,0.0,86.0,0.0
0.03257,0x386,0.0,0.0,1.0,6.25,2.83,0.42,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.03639,0x2B0,0.0,0.0,1.0,6.25,2.83,0.42,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.03828,0x220,0.0,0.0,1.0,6.25,2.86,0.41,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.04095,0x316,0.0,0.0,1.0,6.25,2.86,0.41,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.0464,0x2B0,0.0,0.0,1.0,6.25,2.86,0.41,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.04823,0x220,0.0,0.0,1.0,6.25,2.89,0.39,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.05087,0x316,0.0,0.0,1.0,6.25,2.89,0.39,11.375,11.46875,11.0,11.1875,27.6,0.0,86.0,0.0
0.05257,0x386,0.0,0.0,1.0,6.25,2.89,0.39,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.05639,0x2B0,0.0,0.0,1.0,6.25,2.89,0.39,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.05826,0x220,0.0,0.0,1.0,6.25,2.91,0.39,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.06092,0x316,0.0,0.0,1.0,6.25,2.91,0.39,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.0664,0x2B0,0.0,0.0,1.0,6.25,2.91,0.39,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.06823,0x220,0.0,0.0,1.0,6.25,2.92,0.43,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.07176,0x316,0.0,0.0,1.0,6.25,2.92,0.43,11.4375,11.5625,11.09375,11.28125,27.6,0.0,86.0,0.0
0.0727,0x386,0.0,0.0,1.0,6.25,2.92,0.43,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.07658,0x2B0,0.0,0.0,1.0,6.25,2.92,0.43,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.07826,0x220,0.0,0.0,1.0,6.25,2.9,0.49,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.08094,0x316,0.0,0.0,1.0,6.25,2.9,0.49,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.08639,0x2B0,0.0,0.0,1.0,6.25,2.9,0.49,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.08824,0x220,0.0,0.0,1.0,6.25,2.87,0.52,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.09089,0x316,0.0,0.0,1.0,6.25,2.87,0.52,11.59375,11.625,11.1875,11.375,27.6,0.0,86.0,0.0
0.09257,0x386,0.0,0.0,1.0,6.25,2.87,0.52,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.0964,0x2B0,0.0,0.0,1.0,6.25,2.87,0.52,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.09827,0x220,0.0,0.0,1.0,6.25,2.88,0.5,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.10097,0x316,0.0,0.0,1.0,6.25,2.88,0.5,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.1064,0x2B0,0.0,0.0,1.0,6.25,2.88,0.5,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.10824,0x220,0.0,0.0,1.0,6.25,2.91,0.47,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.11097,0x316,0.0,0.0,1.0,6.25,2.91,0.47,11.65625,11.71875,11.3125,11.46875,27.6,0.0,86.0,0.0
0.11257,0x386,0.0,0.0,1.0,6.25,2.91,0.47,11.78125,11.84375,11.40625,11.625,27.6,0.0,86.0,0.0
0.11642,0x2B0,0.0,0.0,1.0,6.25,2.91,0.47,11.78125,11.84375,11.40625,11.625,27.5,0.0,86.0,0.0
0.11832,0x220,0.0,0.0,1.0,6.25,2.93,0.44,11.78125,11.84375,11.40625,11.625,27.5,0.0,86.0,0.0
0.12114,0x316,0.0,0.0,1.0,6.25,2.93,0.44,11.78125,11.84375,11.40625,11.625,27.5,0.0,86.0,0.0
0.12653,0x2B0,0.0,0.0,1.0,6.25,2.93,0.44,11.78125,11.84375,11.40625,11.625,27.5,0.0,86.0,0.0
0.12823,0x220,0.0,0.0,1.0,6.25,2.92,0.44,11.78125,11.84375,11.40625,11.625,27.5,0.0,86.0,0.0
0.13089,0x316,0.0,0.0,1.0,6.25,2.92,0.44,11.78125,11.84375,11.40625,11.625,27.5,0.0,86.0,0.0
0.13257,0x386,0.0,0.0,1.0,6.25,2.92,0.44,11.875,11.90625,11.5625,11.6875,27.5,0.0,86.0,0.0
0.13639,0x2B0,0.0,0.0,1.0,6.25,2.92,0.44,11.875,11.90625,11.5625,11.6875,27.3,8.0,86.0,0.0
0.13828,0x220,0.0,0.0,1.0,6.25,2.9,0.45,11.875,11.90625,11.5625,11.6875,27.3,8.0,86.0,0.0
0.14094,0x316,0.0,0.0,1.0,6.25,2.9,0.45,11.875,11.90625,11.5625,11.6875,27.3,8.0,86.0,0.0
0.14638,0x2B0,0.0,0.0,1.0,6.25,2.9,0.45,11.875,11.90625,11.5625,11.6875,27.3,8.0,86.0,0.0
0.14823,0x220,0.0,0.0,1.0,6.25,2.89,0.43,11.875,11.90625,11.5625,11.6875,27.3,8.0,86.0,0.0
0.15089,0x316,0.0,0.0,1.0,6.25,2.89,0.43,11.875,11.90625,11.5625,11.6875,27.3,8.0,86.0,0.0
0.15258,0x386,0.0,0.0,1.0,6.25,2.89,0.43,11.96875,12.0625,11.59375,11.78125,27.3,8.0,86.0,0.0
0.15639,0x2B0,0.0,0.0,1.0,6.25,2.89,0.43,11.96875,12.0625,11.59375,11.78125,27.2,0.0,86.0,0.0
0.15828,0x220,0.0,0.0,1.0,6.25,2.89,0.4,11.96875,12.0625,11.59375,11.78125,27.2,0.0,86.0,0.0
0.16095,0x316,0.0,0.0,1.0,6.25,2.89,0.4,11.96875,12.0625,11.59375,11.78125,27.2,0.0,86.0,0.0
0.16639,0x2B0,0.0,0.0,1.0,6.25,2.89,0.4,11.96875,12.0625,11.59375,11.78125,27.2,0.0,86.0,0.0
0.16824,0x220,0.0,0.0,1.0,6.25,2.91,0.39,11.96875,12.0625,11.59375,11.78125,27.2,0.0,86.0,0.0
0.17156,0x316,0.0,0.0,1.0,6.25,2.91,0.39,11.96875,12.0625,11.59375,11.78125,27.2,0.0,86.0,0.0
0.17276,0x386,0.0,0.0,1.0,6.25,2.91,0.39,12.09375,12.09375,11.78125,11.875,27.2,0.0,86.0,0.0
0.17657,0x2B0,0.0,0.0,1.0,6.25,2.91,0.39,12.09375,12.09375,11.78125,11.875,26.9,12.0,86.0,0.0
0.17826,0x220,0.0,0.0,1.0,6.25,2.95,0.42,12.09375,12.09375,11.78125,11.875,26.9,12.0,86.0,0.0
0.18094,0x316,0.0,0.0,1.0,6.25,2.95,0.42,12.09375,12.09375,11.78125,11.875,26.9,12.0,86.0,0.0
0.18639,0x2B0,0.0,0.0,1.0,6.25,2.95,0.42,12.09375,12.09375,11.78125,11.875,26.9,12.0,86.0,0.0
0.18824,0x220,0.0,0.0,1.0,6.25,2.97,0.44,12.09375,12.09375,11.78125,11.875,26.9,12.0,86.0,0.0
0.19099,0x316,0.0,0.0,1.0,6.25,2.97,0.44,12.09375,12.09375,11.78125,11.875,26.9,12.0,86.0,0.0
0.19257,0x386,0.0,0.0,1.0,6.25,2.97,0.44,12.21875,12.25,11.84375,11.96875,26.9,12.0,86.0,0.0
0.19641,0x2B0,0.0,0.0,1.0,6.25,2.97,0.44,12.21875,12.25,11.84375,11.96875,26.7,8.0,86.0,0.0
0.19826,0x220,0.0,0.0,1.0,6.25,2.98,0.44,12.21875,12.25,11.84375,11.96875,26.7,8.0,86.0,0.0
0.201,0x316,0.0,0.0,1.0,6.25,2.98,0.44,12.21875,12.25,11.84375,11.96875,26.7,8.0,86.0,0.0
0.20641,0x2B0,0.0,0.0,1.0,6.25,2.98,0.44,12.21875,12.25,11.84375,11.96875,26.6,12.0,86.0,0.0
0.20823,0x220,0.0,0.0,1.0,6.25,3.04,0.44,12.21875,12.25,11.84375,11.96875,26.6,12.0,86.0,0.0
0.21088,0x316,0.0,0.0,1.0,6.25,3.04,0.44,12.21875,12.25,11.84375,11.96875,26.6,12.0,86.0,0.0
0.21258,0x386,0.0,0.0,1.0,6.25,3.04,0.44,12.3125,12.375,11.9375,12.0625,26.6,12.0,86.0,0.0
0.21639,0x2B0,0.0,0.0,1.0,6.25,3.04,0.44,12.3125,12.375,11.9375,12.0625,26.4,12.0,86.0,0.0
0.21827,0x220,0.0,0.0,1.0,6.25,3.07,0.42,12.3125,12.375,11.9375,12.0625,26.4,12.0,86.0,0.0
0.2211,0x316,0.0,0.0,1.0,6.25,3.07,0.42,12.3125,12.375,11.9375,12.0625,26.4,12.0,86.0,0.0
0.22653,0x2B0,0.0,0.0,1.0,6.25,3.07,0.42,12.3125,12.375,11.9375,12.0625,26.2,20.0,86.0,0.0
0.22824,0x220,0.0,0.0,1.0,6.25,3.04,0.4,12.3125,12.375,11.9375,12.0625,26.2,20.0,86.0,0.0
0.23094,0x316,0.0,0.0,1.0,6.25,3.04,0.4,12.3125,12.375,11.9375,12.0625,26.2,20.0,86.0,0.0
0.23257,0x386,0.0,0.0,1.0,6.25,3.04,0.4,12.40625,12.40625,12.03125,12.15625,26.2,20.0,86.0,0.0
0.23641,0x2B0,0.0,0.0,1.0,6.25,3.04,0.4,12.40625,12.40625,12.03125,12.15625,26.0,20.0,86.0,0.0
0.23829,0x220,0.0,0.0,1.0,6.25,3.01,0.38,12.40625,12.40625,12.03125,12.15625,26.0,20.0,86.0,0.0
0.241,0x316,0.0,0.0,1.0,6.25,3.01,0.38,12.40625,12.40625,12.03125,12.15625,26.0,20.0,86.0,0.0
0.24642,0x2B0,0.0,0.0,1.0,6.25,3.01,0.38,12.40625,12.40625,12.03125,12.15625,25.7,24.0,86.0,0.0
0.24824,0x220,0.0,0.0,1.0,6.25,2.98,0.33,12.40625,12.40625,12.03125,12.15625,25.7,24.0,86.0,0.0
0.25088,0x316,0.0,0.0,1.0,6.25,2.98,0.33,12.40625,12.40625,12.03125,12.15625,25.7,24.0,84.0,0.0
0.25258,0x386,0.0,0.0,1.0,6.25,2.98,0.33,12.46875,12.46875,12.125,12.21875,25.7,24.0,84.0,0.0
0.25638,0x2B0,0.0,0.0,1.0,6.25,2.98,0.33,12.46875,12.46875,12.125,12.21875,25.5,24.0,84.0,0.0
0.25827,0x220,0.0,0.0,1.0,6.25,2.93,0.31,12.46875,12.46875,12.125,12.21875,25.5,24.0,84.0,0.0
0.26093,0x316,0.0,0.0,1.0,6.25,2.93,0.31,12.46875,12.46875,12.125,12.21875,25.5,24.0,84.0,0.0
0.26638,0x2B0,0.0,0.0,1.0,6.25,2.93,0.31,12.46875,12.46875,12.125,12.21875,25.1,28.0,84.0,0.0
0.26824,0x220,0.0,0.0,1.0,6.25,2.9,0.33,12.46875,12.46875,12.125,12.21875,25.1,28.0,84.0,0.0
0.27176,0x316,0.0,0.0,1.0,6.25,2.9,0.33,12.46875,12.46875,12.125,12.21875,25.1,28.0,84.0,0.0
0.27271,0x386,0.0,0.0,1.0,6.25,2.9,0.33,12.5625,12.59375,12.15625,12.40625,25.1,28.0,84.0,0.0
0.27655,0x2B0,0.0,0.0,1.0,6.25,2.9,0.33,12.5625,12.59375,12.15625,12.40625,24.8,32.0,84.0,0.0
0.27827,0x220,0.0,0.0,1.0,6.25,2.9,0.38,12.5625,12.59375,12.15625,12.40625,24.8,32.0,84.0,0.0
0.28102,0x316,0.0,0.0,1.0,6.25,2.9,0.38,12.5625,12.59375,12.15625,12.40625,24.8,32.0,84.0,0.0
0.28641,0x2B0,0.0,0.0,1.0,6.25,2.9,0.38,12.5625,12.59375,12.15625,12.40625,24.5,28.0,84.0,0.0
0.28824,0x220,0.0,0.0,1.0,6.25,2.91,0.42,12.5625,12.59375,12.15625,12.40625,24.5,28.0,84.0,0.0
0.29091,0x316,0.0,0.0,1.0,6.25,2.91,0.42,12.5625,12.59375,12.15625,12.40625,24.5,28.0,84.0,0.0
0.29258,0x386,0.0,0.0,1.0,6.25,2.91,0.42,12.625,12.71875,12.28125,12.4375,24.5,28.0,84.0,0.0
0.29641,0x2B0,0.0,0.0,1.0,6.25,2.91,0.42,12.625,12.71875,12.28125,12.4375,24.1,32.0,84.0,0.0
0.29827,0x220,0.0,0.0,1.0,6.25,2.91,0.41,12.625,12.71875,12.28125,12.4375,24.1,32.0,84.0,0.0
0.30094,0x316,0.0,0.0,1.0,6.25,2.91,0.41,12.625,12.71875,12.28125,12.4375,24.1,32.0,84.0,0.0
0.30641,0x2B0,0.0,0.0,1.0,6.25,2.91,0.41,12.625,12.71875,12.28125,12.4375,23.7,40.0,84.0,0.0
0.30824,0x220,0.0,0.0,1.0,6.25,2.91,0.42,12.625,12.71875,12.28125,12.4375,23.7,40.0,84.0,0.0
0.31096,0x316,0.0,0.0,1.0,6.25,2.91,0.42,12.625,12.71875,12.28125,12.4375,23.7,40.0,84.0,0.0
0.31258,0x386,0.0,0.0,1.0,6.25,2.91,0.42,12.6875,12.78125,12.34375,12.53125,23.7,40.0,84.0,0.0
0.31641,0x2B0,0.0,0.0,1.0,6.25,2.91,0.42,12.6875,12.78125,12.34375,12.53125,23.2,44.0,84.0,0.0
0.3183,0x220,0.0,0.0,1.0,6.25,2.9,0.43,12.6875,12.78125,12.34375,12.53125,23.2,44.0,84.0,0.0
0.32124,0x316,0.0,0.0,1.0,6.25,2.9,0.43,12.6875,12.78125,12.34375,12.53125,23.2,44.0,84.0,0.0
0.32651,0x2B0,0.0,0.0,1.0,6.25,2.9,0.43,12.6875,12.78125,12.34375,12.53125,22.8,44.0,84.0,0.0
0.32824,0x220,0.0,0.0,1.0,6.25,2.89,0.44,12.6875,12.78125,12.34375,12.53125,22.8,44.0,84.0,0.0
0.33088,0x316,0.0,0.0,1.0,6.25,2.89,0.44,12.6875,12.78125,12.34375,12.53125,22.8,44.0,84.0,0.0
0.33258,0x386,0.0,0.0,1.0,6.25,2.89,0.44,12.78125,12.84375,12.40625,12.625,22.8,44.0,84.0,0.0
0.33639,0x2B0,0.0,0.0,1.0,6.25,2.89,0.44,12.78125,12.84375,12.40625,12.625,22.3,44.0,84.0,0.0
0.33829,0x220,0.0,0.0,1.0,6.25,2.88,0.45,12.78125,12.84375,12.40625,12.625,22.3,44.0,84.0,0.0
0.34095,0x316,0.0,0.0,1.0,6.25,2.88,0.45,12.78125,12.84375,12.40625,12.625,22.3,44.0,84.0,0.0
0.34641,0x2B0,0.0,0.0,1.0,6.25,2.88,0.45,12.78125,12.84375,12.40625,12.625,21.8,48.0,84.0,0.0
0.34824,0x220,0.0,0.0,1.0,6.25,2.88,0.43,12.78125,12.84375,12.40625,12.625,21.8,48.0,84.0,0.0
0.35093,0x316,0.0,0.0,1.0,6.25,2.88,0.43,12.78125,12.84375,12.40625,12.625,21.8,48.0,84.0,0.0
0.35258,0x386,0.0,0.0,1.0,6.25,2.88,0.43,12.9375,13.0,12.46875,12.75,21.8,48.0,84.0,0.0
0.35638,0x2B0,0.0,0.0,1.0,6.25,2.88,0.43,12.9375,13.0,12.46875,12.75,21.4,44.0,84.0,0.0
0.3583,0x220,0.0,0.0,1.0,6.25,2.91,0.41,12.9375,13.0,12.46875,12.75,21.4,44.0,84.0,0.0
0.36096,0x316,0.0,0.0,1.0,6.25,2.91,0.41,12.9375,13.0,12.46875,12.75,21.4,44.0,84.0,0.0
0.3664,0x2B0,0.0,0.0,1.0,6.25,2.91,0.41,12.9375,13.0,12.46875,12.75,20.8,48.0,84.0,0.0
0.36824,0x220,0.0,0.0,1.0,6.25,2.97,0.41,12.9375,13.0,12.46875,12.75,20.8,48.0,84.0,0.0
0.37151,0x316,0.0,0.0,1.0,6.25,2.97,0.41,12.9375,13.0,12.46875,12.75,20.8,48.0,84.0,0.0
0.37272,0x386,0.0,0.0,1.0,6.25,2.97,0.41,13.0,13.0625,12.625,12.8125,20.8,48.0,84.0,0.0
0.37656,0x2B0,0.0,0.0,1.0,6.25,2.97,0.41,13.0,13.0625,12.625,12.8125,20.3,52.0,84.0,0.0
0.37828,0x220,0.0,0.0,1.0,6.25,3.01,0.42,13.0,13.0625,12.625,12.8125,20.3,52.0,84.0,0.0
0.38094,0x316,0.0,0.0,1.0,6.25,3.01,0.42,13.0,13.0625,12.625,12.8125,20.3,52.0,84.0,0.0
0.3864,0x2B0,0.0,0.0,1.0,6.25,3.01,0.42,13.0,13.0625,12.625,12.8125,19.8,48.0,84.0,0.0
0.38824,0x220,0.0,0.0,1.0,6.25,3.04,0.41,13.0,13.0625,12.625,12.8125,19.8,48.0,84.0,0.0
0.39089,0x316,0.0,0.0,1.0,6.25,3.04,0.41,13.0,13.0625,12.625,12.8125,19.8,48.0,84.0,0.0
0.39258,0x386,0.0,0.0,1.0,6.25,3.04,0.41,13.09375,13.25,12.65625,12.9375,19.8,48.0,84.0,0.0
0.39641,0x2B0,0.0,0.0,1.0,6.25,3.04,0.41,13.09375,13.25,12.65625,12.9375,19.2,52.0,84.0,0.0
0.39827,0x220,0.0,0.0,1.0,6.25,3.06,0.37,13.09375,13.25,12.65625,12.9375,19.2,52.0,84.0,0.0
0.40097,0x316,0.0,0.0,1.0,6.25,3.06,0.37,13.09375,13.25,12.65625,12.9375,19.2,52.0,84.0,0.0
0.40639,0x2B0,0.0,0.0,1.0,6.25,3.06,0.37,13.09375,13.25,12.65625,12.9375,18.7,52.0,84.0,0.0
0.40824,0x220,0.0,0.0,1.0,6.25,3.05,0.33,13.09375,13.25,12.65625,12.9375,18.7,52.0,84.0,0.0
0.41087,0x316,0.0,0.0,1.0,6.25,3.05,0.33,13.09375,13.25,12.65625,12.9375,18.7,52.0,84.0,0.0
0.41258,0x386,0.0,0.0,1.0,6.25,3.05,0.33,13.25,13.375,12.65625,13.0,18.7,52.0,84.0,0.0
0.4164,0x2B0,0.0,0.0,1.0,6.25,3.05,0.33,13.25,13.375,12.65625,13.0,18.2,48.0,84.0,0.0
0.41828,0x220,0.0,0.0,1.0,6.25,3.05,0.31,13.25,13.375,12.65625,13.0,18.2,48.0,84.0,0.0
0.42109,0x316,0.0,0.0,1.0,6.25,3.05,0.31,13.25,13.375,12.65625,13.0,18.2,48.0,84.0,0.0
0.42652,0x2B0,0.0,0.0,1.0,6.25,3.05,0.31,13.25,13.375,12.65625,13.0,17.7,48.0,84.0,0.0
0.42824,0x220,0.0,0.0,1.0,6.25,3.04,0.29,13.25,13.375,12.65625,13.0,17.7,48.0,84.0,0.0
0.43092,0x316,0.0,0.0,1.0,6.25,3.04,0.29,13.25,13.375,12.65625,13.0,17.7,48.0,84.0,0.0
0.43258,0x386,0.0,0.0,1.0,6.25,3.04,0.29,13.3125,13.40625,12.8125,13.09375,17.7,48.0,84.0,0.0
0.43637,0x2B0,0.0,0.0,1.0,6.25,3.04,0.29,13.3125,13.40625,12.8125,13.09375,17.2,48.0,84.0,0.0
0.4383,0x220,0.0,0.0,1.0,6.25,3.05,0.27,13.3125,13.40625,12.8125,13.09375,17.2,48.0,84.0,0.0
0.44102,0x316,0.0,0.0,1.0,6.25,3.05,0.27,13.3125,13.40625,12.8125,13.09375,17.2,48.0,84.0,0.0
0.44638,0x2B0,0.0,0.0,1.0,6.25,3.05,0.27,13.3125,13.40625,12.8125,13.09375,16.7,48.0,84.0,0.0
0.44825,0x220,0.0,0.0,1.0,6.25,3.01,0.27,13.3125,13.40625,12.8125,13.09375,16.7,48.0,84.0,0.0
0.45088,0x316,0.0,0.0,1.0,6.25,3.01,0.27,13.3125,13.40625,12.8125,13.09375,16.7,48.0,84.0,0.0
0.45259,0x386,0.0,0.0,1.0,6.25,3.01,0.27,13.4375,13.5625,13.0,13.21875,16.7,48.0,84.0,0.0
0.4564,0x2B0,0.0,0.0,1.0,6.25,3.01,0.27,13.4375,13.5625,13.0,13.21875,16.3,44.0,84.0,0.0
0.45828,0x220,0.0,0.0,1.0,6.25,2.97,0.27,13.4375,13.5625,13.0,13.21875,16.3,44.0,84.0,0.0
0.46095,0x316,0.0,0.0,1.0,6.25,2.97,0.27,13.4375,13.5625,13.0,13.21875,16.3,44.0,84.0,0.0
0.46638,0x2B0,0.0,0.0,1.0,6.25,2.97,0.27,13.4375,13.5625,13.0,13.21875,15.8,44.0,84.0,0.0
0.46825,0x220,0.0,0.0,1.0,6.25,2.96,0.27,13.4375,13.5625,13.0,13.21875,15.8,44.0,84.0,0.0
0.47153,0x316,0.0,0.0,1.0,6.25,2.96,0.27,13.4375,13.5625,13.0,13.21875,15.8,44.0,84.0,0.0
0.47256,0x386,0.0,0.0,1.0,6.25,2.96,0.27,13.5625,13.6875,13.15625,13.3125,15.8,44.0,84.0,0.0
0.47656,0x2B0,0.0,0.0,1.0,6.25,2.96,0.27,13.5625,13.6875,13.15625,13.3125,15.5,40.0,84.0,0.0
0.47828,0x220,0.0,0.0,1.0,6.25,2.94,0.25,13.5625,13.6875,13.15625,13.3125,15.5,40.0,84.0,0.0
0.48103,0x316,0.0,0.0,1.0,6.25,2.94,0.25,13.5625,13.6875,13.15625,13.3125,15.5,40.0,84.0,0.0
0.48637,0x2B0,0.0,0.0,1.0,6.25,2.94,0.25,13.5625,13.6875,13.15625,13.3125,15.2,28.0,84.0,0.0
0.48825,0x220,0.0,0.0,1.0,6.25,2.92,0.2,13.5625,13.6875,13.15625,13.3125,15.2,28.0,84.0,0.0
0.49092,0x316,0.0,0.0,1.0,6.25,2.92,0.2,13.5625,13.6875,13.15625,13.3125,15.2,28.0,84.0,0.0
0.49258,0x386,0.0,0.0,1.0,6.25,2.92,0.2,13.65625,13.75,13.15625,13.34375,15.2,28.0,84.0,0.0
0.49639,0x2B0,0.0,0.0,1.0,6.25,2.92,0.2,13.65625,13.75,13.15625,13.34375,14.8,32.0,84.0,0.0
0.49827,0x220,0.0,0.0,1.0,6.25,2.9,0.2,13.65625,13.75,13.15625,13.34375,14.8,32.0,84.0,0.0
0.50096,0x316,0.0,0.0,1.0,6.25,2.9,0.2,13.65625,13.75,13.15625,13.34375,14.8,32.0,84.0,0.0
0.5064,0x2B0,0.0,0.0,1.0,6.25,2.9,0.2,13.65625,13.75,13.15625,13.34375,14.6,28.0,84.0,0.0
0.50824,0x220,0.0,0.0,1.0,6.25,2.83,0.21,13.65625,13.75,13.15625,13.34375,14.6,28.0,84.0,0.0
0.51087,0x316,0.0,0.0,1.0,6.25,2.83,0.21,13.65625,13.75,13.15625,13.34375,14.6,28.0,84.0,0.0
0.51258,0x386,0.0,0.0,1.0,6.25,2.83,0.21,13.71875,13.84375,13.28125,13.46875,14.6,28.0,84.0,0.0
0.51637,0x2B0,0.0,0.0,1.0,6.25,2.83,0.21,13.71875,13.84375,13.28125,13.46875,14.4,20.0,84.0,0.0
0.5183,0x220,0.0,0.0,1.0,6.25,2.78,0.22,13.71875,13.84375,13.28125,13.46875,14.4,20.0,84.0,0.0
0.52127,0x316,0.0,0.0,1.0,6.25,2.78,0.22,13.71875,13.84375,13.28125,13.46875,14.4,20.0,84.0,0.0
0.52651,0x2B0,0.0,0.0,1.0,6.25,2.78,0.22,13.71875,13.84375,13.28125,13.46875,14.3,12.0,84.0,0.0
0.52825,0x220,0.0,0.0,1.0,6.25,2.74,0.24,13.71875,13.84375,13.28125,13.46875,14.3,12.0,84.0,0.0
0.53087,0x316,0.0,0.0,1.0,6.25,2.74,0.24,13.71875,13.84375,13.28125,13.46875,14.3,12.0,84.0,0.0
0.53258,0x386,0.0,0.0,1.0,6.25,2.74,0.24,13.9375,13.90625,13.375,13.5,14.3,12.0,84.0,0.0
0.5364,0x2B0,0.0,0.0,1.0,6.25,2.74,0.24,13.9375,13.90625,13.375,13.5,14.3,0.0,84.0,0.0
0.53835,0x220,0.0,0.0,1.0,6.25,2.68,0.24,13.9375,13.90625,13.375,13.5,14.3,0.0,84.0,0.0
0.54096,0x316,0.0,0.0,1.0,6.25,2.68,0.24,13.9375,13.90625,13.375,13.5,14.3,0.0,84.0,0.0
0.54638,0x2B0,0.0,0.0,1.0,6.25,2.68,0.24,13.9375,13.90625,13.375,13.5,14.3,0.0,84.0,0.0
0.54824,0x220,0.0,0.0,1.0,6.25,2.62,0.26,13.9375,13.90625,13.375,13.5,14.3,0.0,84.0,0.0
0.55088,0x316,0.0,0.0,1.0,6.25,2.62,0.26,13.9375,13.90625,13.375,13.5,14.3,0.0,84.0,0.0
0.55259,0x386,0.0,0.0,1.0,6.25,2.62,0.26,13.90625,14.03125,13.34375,13.65625,14.3,0.0,84.0,0.0
0.55637,0x2B0,0.0,0.0,1.0,6.25,2.62,0.26,13.90625,14.03125,13.34375,13.65625,14.1,8.0,84.0,0.0
0.55828,0x220,0.0,0.0,1.0,6.25,2.58,0.29,13.90625,14.03125,13.34375,13.65625,14.1,8.0,84.0,0.0
0.56101,0x316,0.0,0.0,1.0,6.25,2.58,0.29,13.90625,14.03125,13.34375,13.65625,14.1,8.0,84.0,0.0
0.56637,0x2B0,0.0,0.0,1.0,6.25,2.58,0.29,13.90625,14.03125,13.34375,13.65625,14.1,8.0,84.0,0.0
0.56825,0x220,0.0,0.0,1.0,6.25,2.56,0.3,13.90625,14.03125,13.34375,13.65625,14.1,8.0,84.0,0.0
0.57158,0x316,0.0,0.0,1.0,6.25,2.56,0.3,13.90625,14.03125,13.34375,13.65625,14.1,8.0,86.0,0.0
0.57278,0x386,0.0,0.0,1.0,6.25,2.56,0.3,14.0625,14.09375,13.5625,13.78125,14.1,8.0,86.0,0.0
0.57655,0x2B0,0.0,0.0,1.0,6.25,2.56,0.3,14.0625,14.09375,13.5625,13.78125,14.1,0.0,86.0,0.0
